|0000|004|0|01082011|31082011|MÍDIA FERRAMENTARIA LTDA.|02126838000151||SC|253588715|4209102|||B|0|
|0001|0|
|0005|MÍDIA|89203201|XAVANTES|155|PAVILHÃO 5|ATIRADORES|4731453000|||
|0100|FERNANDO RAFAEL VIERTEL|97021490968|SC0025417O7||89204300|RUA QUINTINO BOCAIUVA|300||AMÉRICA|4731453000|4734330147|fernando@contar.com.br|4209102|
|0150|CLI000000001|KRAFT FOODS BRASIL SA|01058|33033028002047||9019833051|4106902||AV JUSCELINO K OLIVEIRA|13300|CURITIBA|CIC|
|0150|CLI000000002|WHIRLPOOL SA - Unidade de Eletrodomestic|01058|59105999003959||250050889|4209102||RUA: DONA FRANCISCA|7200||ZONA INDUSTRIAL|
|0150|CLI000000003|ENGLER USINAGEM LTDA|01058|09553143000103||255607482|4209102||RUA PARANAGUA|68||NOVA BRASILIA|
|0150|CLI000000004|BODYCOTE BRASIMET PROCESSAMENTO TERMICO|01058|60856820002902||253167574|4209102||RUA TUIUTI|3575||AVENTUREIRO|
|0150|CLI000000006|CARLOS EDUARDO DE SOUZA - ME|01058|07470169000154||255485182|4209102||RUA AGUIA|163|JOINVILLE|COSTA E SILVA|
|0150|CLI000000010|APOITEC DO BRASIL INSTALACOES INDUSTRIAI|01058|07402846000105||255084358|4209102||RUA XAVANTES|155|CA 12|ATIRADORES|
|0150|CLI000000014|EVILÁSIO PEDRO SANTIAGO ME|01058|03165407000167||253899850|4209102||RUA EMILIO ROEDER|267||ITAUM|
|0150|CLI000000019|COMP INDUSTRIA E COMERCIO DE METAIS LTDA|01058|82439134000178||1370108958|4119152||RUA BENEVENUTO RATTMAN|225||VILA EMILIANO PERNET|
|0150|CLI000000028|ITAESBRA INDUSTRIA MECANICA LTDA|01058|61381323000248||286271551117|3513801||AVENIDA PIRAPORINHA|1210||PIRAPORINHA|
|0150|CLI000000029|POLIBRILHO SERV. DE POLIMENTO E CROMAGEM|01058|00087740000107||252901959|4209102||RUA TEREZA WEGNER|1232||VILA NOVA|
|0150|CLI000000030|TECNOTEMPERA TRATAMENTOS TERMICOS LTDA|01058|04719223000164||254302661|4206504||BR 280 KM 45|S/N||CORTICEIRA|
